content_id,title,genres
344,The Pyramid Code,Documentary
607,The Forgotten (2004),"Drama, Mystery, Sci-Fi"
713,Star Trek: First Contact,"Action, Adventure, Drama"
869,Circle,"Drama, Horror, Mystery"
627,Vikings,"Action, Adventure, Drama"
504,The Man in the Wall,"Drama, Thriller"
418,Love Me (2014),N/A
76,Street Kings,"Action, Crime, Drama"
858,Killing Them Softly,"Crime, Drama, Thriller"
80,Jackass: Number Two,"Documentary, Action, Comedy"
551,Archer,"Animation, Action, Comedy"
502,BoJack Horseman Christmas Special: Sabrina's Christmas Wish,"Animation, Comedy, Drama"
67,1 Night,"Drama, Romance"
296,The Crown,"Biography, Drama, History"
739,Limitless (2011),"Sci-Fi, Thriller"
597,Hotel Transylvania 2,"Animation, Adventure, Comedy"
105,The Lord of the Rings: The Return of the King,"Action, Adventure, Drama"
138,The Bridge (2011),"Crime, Mystery, Thriller"
248,Chapo: El escape del siglo,Crime
686,2001: A Space Odyssey,"Adventure, Sci-Fi"
280,Indecent Proposal,"Drama, Romance"
477,Kung Fu Panda 2,"Animation, Action, Adventure"
250,El Capo - El Amo del Tunel,Crime
733,Dexter,"Crime, Drama, Mystery"
257,Shimmer Lake,"Crime, Drama, Mystery"
186,Iwan the Terrible,Documentary
740,iZombie,"Comedy, Crime, Drama"
36,The OA,"Drama, Fantasy, Mystery"
817,Free Rein,"Action, Adventure, Comedy"
161,Sex: My British Job,Documentary
77,Grand Hotel,"Crime, Drama, Mystery"
683,Faster (2010),"Action, Crime, Drama"
49,Bakugan: Battle Brawlers,"Animation, Action, Adventure"
822,Did You Hear About the Morgans?,"Comedy, Drama, Romance"
894,XOXO,"Drama, Music"
1010,The Sweetest Thing,"Comedy, Romance"
33,The Ouija Experiment,Horror
285,Care Bears: Welcome to Care-a-Lot,"Animation, Family"
276,Californication,"Comedy, Drama"
635,Legion,"Action, Fantasy, Horror"
471,Ocean's Eleven (2001),"Crime, Thriller"
155,Open Season: Scared Silly,"Animation, Adventure, Comedy, Family, Horror"
767,Love Me!,"Comedy, Drama"
231,Paradox (2016),"Action, Drama, Sci-Fi"
352,Star Trek: Discovery,"Action, Adventure, Drama"
547,The SpongeBob SquarePants Movie,"Animation, Action, Adventure"
701,The Girl Next Door (2004),"Comedy, Drama, Romance"
110,Star Trek: Enterprise,"Action, Adventure, Drama"
642,Mission: Impossible 5,"Action, Adventure, Thriller"
813,Arrow,"Action, Adventure, Crime"
526,Pulp Fiction,"Crime, Drama"
304,Mad Men,Drama
387,Frontier,"Adventure, Drama, History"
337,Zero Dark Thirty,"Drama, History, Thriller"
802,Ever After High,"Animation, Adventure, Comedy"
928,Netflix Branded Original Stand Up Special 1,
948,Megafactories: Energy,
785,Real Detective,"Documentary, Crime, Drama"
193,Snatch,"Comedy, Crime"
827,Felon,Thriller
474,First They Killed My Father,"Biography, Drama, History"
56,Jessica Darling's It List,Family
870,Amar (2017),"Drama, Romance"
390,Scream 3,"Horror, Mystery"
44,The Wolf of Wall Street,"Biography, Crime, Drama"
327,Life (2009),Documentary
319,Transformers: Robots in Disguise,"Animation, Action, Adventure"
586,From Dusk Till Dawn,"Action, Crime, Fantasy"
269,Designated Survivor,"Action, Drama, Mystery"
217,Wild Alaska,Documentary
215,Family Business,"Crime, Drama"
699,How to Get Away with Murder,"Crime, Drama, Mystery"
495,The Smurfs 2,"Animation, Adventure, Comedy"
765,Im Tal der wilden Rosen,"Drama, Romance"
121,Hannibal,"Crime, Drama, Horror"
360,Marvel - Daredevil,"Action, Crime, Drama"
460,Wet Hot American Summer: Ten Years Later,Comedy
665,Kung Fu Hustle,"Action, Comedy, Fantasy"
46,Mission: Impossible - Ghost Protocol,N/A
795,Honeymoon (2015),"Horror, Thriller"
612,Greenhouse Academy,Drama
745,Santa Clarita Diet,"Comedy, Horror"
975,ID-0,"Animation, Action, Adventure"
667,Clinical,"Horror, Thriller"
290,Puss in Book: Trapped in an Epic Tale,"Animation, Short, Action"
968,November Rule,"Comedy, Romance"
967,Merry Kissmas,"Comedy, Drama, Romance"
664,The Three Musketeers (2011),"Action, Adventure, Fantasy"
252,Death Note (2017),"Action, Crime, Drama"
574,The Death and Life of Marsha P. Johnson,Documentary
830,Sense8: Creating the World,"Documentary, Short, Sci-Fi"
640,The Girl Who Played with Fire,"Action, Crime, Drama"
977,Hope,"Short, Drama"
291,Rocco,Documentary
470,Red vs. Blue,"Animation, Short, Action"
196,Angry Birds,"Animation, Action, Adventure"
618,Spectral,"Action, Adventure, Sci-Fi"
422,Sensations of the 20th Century,
771,Indiana Jones and the Raiders of the Lost Ark,"Action, Adventure"
210,Furious 7,"Action, Adventure, Thriller"
314,Bright Night,"Drama, Mystery"
633,The Firefly,"Drama, Fantasy, Romance"
140,Disjointed,Comedy
985,Big Momma's House,"Action, Comedy, Crime"
724,Are We Done Yet? (2007),"Comedy, Family, Fantasy"
541,The Muppets Take Manhattan,"Adventure, Comedy, Drama, Family, Musical, Romance"
744,300,"Action, Drama"
230,Anthony Jeselnik: Thoughts and Prayers,Comedy
164,Just My Luck,"Comedy, Fantasy, Romance"
638,When Love Happens,Romance
4,Ice Guardians,"Documentary, Sport"
152,My Little Pony: Happy Birthday to You!,
432,LoliRock,"Animation, Action, Comedy"
962,Star Trek: Deep Space Nine,"Action, Adventure, Drama"
950,Boyka: Undisputed,"Action, Drama, Sport"
16,The Good Place,"Comedy, Drama, Fantasy"
306,Netflix Branded Original Stand Up Special 6,
617,Walt Before Mickey,"Biography, Drama"
1,Wrong Turn (2003),"Horror, Thriller"
760,Jane the Virgin,Comedy
207,Unknown,"Action, Mystery, Thriller"
394,Helix,"Drama, Horror, Mystery"
57,Daniel Tiger's Neighbourhood,"Animation, Family, Fantasy"
20,The Shawshank Redemption,Drama
302,Push,"Action, Sci-Fi, Thriller"
496,Project Mc²,Family
653,The Next Three Days,"Action, Crime, Drama"
